Code,6_group,6_group_name,20_group,20_group_name,long_name
92541000000108,1,White,1, White British,Scottish - ethnic category 2001 census
185984009,1,White,1, White British,White - ethnic group
110761000000106,1,White,1, White British,English - ethnic category 2001 census
977911000000103,1,White,1, White British,White: Scottish - Scotland ethnic category 2011 census
92571000000102,1,White,1, White British,Cornish - ethnic category 2001 census
92551000000106,1,White,1, White British,Welsh - ethnic category 2001 census
315236000,1,White,1, White British,White British
494131000000105,1,White,1, White British,White British - ethnic category 2001 census
977351000000100,1,White,1, White British,White - Northern Ireland ethnic category 2011 census
977931000000106,1,White,1, White British,White: other British - Scotland ethnic category 2011 census
92391000000108,1,White,1, White British,British or mixed British - ethnic category 2001 census
401213008,1,White,1, White British,White Scottish
976631000000101,1,White,1, White British,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census
186014006,1,White,2, Irish,Irish (NMO)
977951000000104,1,White,2, Irish,White: Irish - Scotland ethnic category 2011 census
92561000000109,1,White,2, Irish,Northern Irish - ethnic category 2001 census
92401000000106,1,White,2, Irish,Irish - ethnic category 2001 census
94021000000104,1,White,2, Irish,Mixed Irish and other White - ethnic category 2001 census
976651000000108,1,White,2, Irish,White: Irish - England and Wales ethnic category 2011 census
315237009,1,White,2, Irish,White Irish
93921000000101,1,White,2, Irish,Ulster Scots - ethnic category 2001 census
494161000000100,1,White,2, Irish,White Irish - ethnic category 2001 census
315283003,1,White,3, Gypsy/Irish Traveller,Irish traveller
88921000000107,1,White,3, Gypsy/Irish Traveller,Traveller - ethnic category 2001 census
88931000000109,1,White,3, Gypsy/Irish Traveller,Gypsy/Romany - ethnic category 2001 census
977971000000108,1,White,3, Gypsy/Irish Traveller,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census
88911000000101,1,White,3, Gypsy/Irish Traveller,Irish Traveller - ethnic category 2001 census
976671000000104,1,White,3, Gypsy/Irish Traveller,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census
977371000000109,1,White,3, Gypsy/Irish Traveller,Irish Traveller - Northern Ireland ethnic category 2011 census
40182006,1,White,3, Gypsy/Irish Traveller,Gypsies
718958002,1,White,4, Roma,Roma
718963003,1,White,4, Roma,Hungarian Roma
718960000,1,White,4, Roma,Romanian Roma
718961001,1,White,4, Roma,Slovak Roma
718964009,1,White,4, Roma,Polish Roma
718959005,1,White,4, Roma,Czech Roma
718962008,1,White,4, Roma,Bulgarian Roma
94031000000102,1,White,5, Other White,Other mixed White - ethnic category 2001 census
186037000,1,White,5, Other White,Other European in New Zealand
401214002,1,White,5, Other White,Other white British ethnic group
94051000000109,1,White,5, Other White,Other White or White unspecified - ethnic category 2001 census
275599007,1,White,5, Other White,Greek (NMO)
93961000000109,1,White,5, Other White,Italian - ethnic category 2001 census
976691000000100,1,White,5, Other White,White: any other White background - England and Wales ethnic category 2011 census
270467002,1,White,5, Other White,Turkish/Turkish Cypriot (NMO)
286009,1,White,5, Other White,Czech
110401000000103,1,White,5, Other White,Turkish - ethnic category 2001 census
275601009,1,White,5, Other White,Turkish (NMO)
275600005,1,White,5, Other White,Greek Cypriot (NMO)
80208004,1,White,5, Other White,Portuguese
88951000000102,1,White,5, Other White,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census
978011000000101,1,White,5, Other White,White: Polish - Scotland ethnic category 2011 census
93941000000108,1,White,5, Other White,Greek Cypriot - ethnic category 2001 census
93991000000103,1,White,5, Other White,Bosnian - ethnic category 2001 census
93951000000106,1,White,5, Other White,Turkish Cypriot - ethnic category 2001 census
88961000000104,1,White,5, Other White,Commonwealth of (Russian) Independent States - ethnic category 2001 census
36329002,1,White,5, Other White,Slovak
275595001,1,White,5, Other White,Iranian (NMO)
275602002,1,White,5, Other White,Turkish Cypriot (NMO)
29343004,1,White,5, Other White,Bulgarian
94041000000106,1,White,5, Other White,Other White European or European unspecified or Mixed European - ethnic category 2001 census
88971000000106,1,White,5, Other White,Albanian - ethnic category 2001 census
93931000000104,1,White,5, Other White,Greek - ethnic category 2001 census
88981000000108,1,White,5, Other White,Serbian - ethnic category 2001 census
92791000000109,1,White,5, Other White,Cypriot (part not stated) - ethnic category 2001 census
186017004,1,White,5, Other White,Other European (NMO)
94011000000105,1,White,5, Other White,Other republics which made up the former Yugoslavia - ethnic category 2001 census
88941000000100,1,White,5, Other White,Polish - ethnic category 2001 census
94001000000108,1,White,5, Other White,Croatian - ethnic category 2001 census
445343003,1,White,5, Other White,Romanian
94081000000103,1,White,5, Other White,Israeli - ethnic category 2001 census
93981000000100,1,White,5, Other White,Kosovan - ethnic category 2001 census
186036009,1,White,5, Other White,New Zealand European
978031000000109,1,White,5, Other White,White: any other White ethnic group - Scotland ethnic category 2011 census
92411000000108,1,White,5, Other White,Other White background - ethnic category 2001 census
270466006,1,White,5, Other White,Greek/Greek Cypriot (NMO)
89011000000107,1,White,5, Other White,Iranian - ethnic category 2001 census
976711000000103,2,Mixed,6, Mixed White Caribbean,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census
92421000000102,2,Mixed,6, Mixed White Caribbean,White and Black Caribbean - ethnic category 2001 census
977391000000108,2,Mixed,6, Mixed White Caribbean,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census
315634007,2,Mixed,6, Mixed White Caribbean,Black Caribbean and White
315635008,2,Mixed,7, Mixed White African,Black African and White
976731000000106,2,Mixed,7, Mixed White African,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census
110771000000104,2,Mixed,7, Mixed White African,Black and White - ethnic category 2001 census
977411000000108,2,Mixed,7, Mixed White African,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census
92431000000100,2,Mixed,7, Mixed White African,White and Black African - ethnic category 2001 census
92601000000109,2,Mixed,8, Mixed White Asian,Chinese and White - ethnic category 2001 census
186021006,2,Mixed,8, Mixed White Asian,Other ethnic
977431000000100,2,Mixed,8, Mixed White Asian,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census
92441000000109,2,Mixed,8, Mixed White Asian,White and Asian - ethnic category 2001 census
976751000000104,2,Mixed,8, Mixed White Asian,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census
413466005,2,Mixed,9, Mixed Other,Afro-Caucasian
976771000000108,2,Mixed,9, Mixed Other,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census
92581000000100,2,Mixed,9, Mixed Other,Black and Asian - ethnic category 2001 census
92621000000100,2,Mixed,9, Mixed Other,Other Mixed or Mixed unspecified - ethnic category 2001 census
186020007,2,Mixed,9, Mixed Other,Other ethnic
186023009,2,Mixed,9, Mixed Other,Other ethnic
977551000000106,2,Mixed,9, Mixed Other,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census
92591000000103,2,Mixed,9, Mixed Other,Black and Chinese - ethnic category 2001 census
186019001,2,Mixed,9, Mixed Other,Other ethnic
978051000000102,2,Mixed,9, Mixed Other,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census
92721000000106,2,Mixed,9, Mixed Other,Mixed Black - ethnic category 2001 census
315239007,2,Mixed,9, Mixed Other,Mixed ethnic census group
185999009,2,Mixed,9, Mixed Other,Other Black - Black/White orig
92451000000107,2,Mixed,9, Mixed Other,Other Mixed background - ethnic category 2001 census
186000006,2,Mixed,9, Mixed Other,Other Black - Black/Asian orig
186022004,2,Mixed,9, Mixed Other,Other ethnic
92641000000107,3,South Asian,10, Indian,Punjabi - ethnic category 2001 census
978111000000100,3,South Asian,10, Indian,Asian or Asian Scottish or Asian British: Indian
976791000000107,3,South Asian,10, Indian,Asian or Asian British: Indian - England and Wales ethnic category 2011 census
110751000000108,3,South Asian,10, Indian,Indian or British Indian - ethnic category 2001 census
92671000000101,3,South Asian,10, Indian,Tamil - ethnic category 2001 census
977591000000103,3,South Asian,10, Indian,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census
978071000000106,3,South Asian,11, Pakistani,Asian or Asian Scottish or Asian British: Pakistani
92461000000105,3,South Asian,11, Pakistani,Pakistani or British Pakistani - ethnic category 2001 census
92651000000105,3,South Asian,11, Pakistani,Kashmiri - ethnic category 2001 census
976811000000108,3,South Asian,11, Pakistani,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census
186002003,3,South Asian,11, Pakistani,Pakistani
977711000000100,3,South Asian,11, Pakistani,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census
186003008,3,South Asian,12, Bangladeshi,Bangladeshi
977731000000108,3,South Asian,12, Bangladeshi,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census
92471000000103,3,South Asian,12, Bangladeshi,Bangladeshi or British Bangladeshi - ethnic category 2001 census
976831000000100,3,South Asian,12, Bangladeshi,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census
978171000000105,3,South Asian,12, Bangladeshi,Asian or Asian Scottish or Asian British: Bangladeshi
92701000000102,3,South Asian,13, Other Asian,Other Asian or Asian unspecified - ethnic category 2001 census
718131000000106,3,South Asian,13, Other Asian,Nepali
92761000000103,3,South Asian,13, Other Asian,Japanese - ethnic category 2001 census
976871000000103,3,South Asian,13, Other Asian,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census
315281001,3,South Asian,13, Other Asian,Other Asian ethnic group
92781000000107,3,South Asian,13, Other Asian,Malaysian - ethnic category 2001 census
414551003,3,South Asian,13, Other Asian,Japanese
275596000,3,South Asian,13, Other Asian,East African Asian (NMO)
270465005,3,South Asian,13, Other Asian,E Afric Asian/Indo-Carib (NMO)
110781000000102,3,South Asian,13, Other Asian,Sinhalese - ethnic category 2001 census
977771000000105,3,South Asian,13, Other Asian,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census
92681000000104,3,South Asian,13, Other Asian,British Asian - ethnic category 2001 census
186012005,3,South Asian,13, Other Asian,Indian sub-continent (NMO)
92661000000108,3,South Asian,13, Other Asian,East African Asian - ethnic category 2001 census
38361009,3,South Asian,13, Other Asian,Koreans
92611000000106,3,South Asian,13, Other Asian,Asian and Chinese - ethnic category 2001 census
92771000000105,3,South Asian,13, Other Asian,Filipino - ethnic category 2001 census
186013000,3,South Asian,13, Other Asian,Other Asian (NMO)
92751000000101,3,South Asian,13, Other Asian,Vietnamese - ethnic category 2001 census
92631000000103,3,South Asian,13, Other Asian,Mixed Asian - ethnic category 2001 census
978211000000108,3,South Asian,13, Other Asian,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census
312859007,3,South Asian,13, Other Asian,Vietnamese
414978006,3,South Asian,13, Other Asian,Oriental
185996002,3,South Asian,13, Other Asian,Black - other Asian
275589002,3,South Asian,13, Other Asian,Black East African Asian
92481000000101,3,South Asian,13, Other Asian,Other Asian background - ethnic category 2001 census
92691000000102,3,South Asian,13, Other Asian,Caribbean Asian - ethnic category 2001 census
275597009,3,South Asian,13, Other Asian,Indo-Caribbean (NMO)
186044009,3,South Asian,13, Other Asian,South East Asian
315280000,3,South Asian,13, Other Asian,Asian - ethnic group
86461000000107,3,South Asian,13, Other Asian,Sri Lankan - ethnic category 2001 census
275592003,4,Black,14, Caribbean,West Indian (NMO)
160531006,4,Black,14, Caribbean,Race: West indian
275593008,4,Black,14, Caribbean,Guyana (NMO)
185988007,4,Black,14, Caribbean,Black Caribbean
275591005,4,Black,14, Caribbean,Caribbean Island (NMO)
309643000,4,Black,14, Caribbean,Black West Indian
309644006,4,Black,14, Caribbean,Black Guyana
270460000,4,Black,14, Caribbean,Black Caribbean/West India/Guyana
270463003,4,Black,14, Caribbean,Caribbean I./W.I./Guyana (NMO)
978271000000103,4,Black,14, Caribbean,Caribbean or Black: Caribbean
107691000000105,4,Black,14, Caribbean,Caribbean - ethnic category 2001 census
977811000000105,4,Black,14, Caribbean,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census
976911000000101,4,Black,14, Caribbean,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census
978231000000100,4,Black,15, African,African: African
94061000000107,4,Black,15, African,North African - ethnic category 2001 census
978251000000107,4,Black,15, African,African: any other African - Scotland ethnic category 2011 census
92711000000100,4,Black,15, African,Somali - ethnic category 2001 census
275586009,4,Black,15, African,Black North African
92731000000108,4,Black,15, African,Nigerian - ethnic category 2001 census
977791000000109,4,Black,15, African,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census
18167009,4,Black,15, African,Black African
186010002,4,Black,15, African,Other African countries (NMO)
185993005,4,Black,15, African,Black - other African country
92491000000104,4,Black,15, African,African - ethnic category 2001 census
315279003,4,Black,16, Other Black,Other black ethnic group
976931000000109,4,Black,16, Other Black,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census
185998001,4,Black,16, Other Black,Black - other
270462008,4,Black,16, Other Black,Black East African Asian/Indo-Caribbean
185989004,4,Black,16, Other Black,Black
275588005,4,Black,16, Other Black,Black Iranian
185990008,4,Black,16, Other Black,Black British
978361000000101,4,Black,16, Other Black,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census
413465009,4,Black,16, Other Black,Afro-Caribbean
92501000000105,4,Black,16, Other Black,Other Black background - ethnic category 2001 census
977831000000102,4,Black,16, Other Black,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census
275590006,4,Black,16, Other Black,Black Indo-Caribbean
976891000000104,4,Black,16, Other Black,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census
110791000000100,4,Black,16, Other Black,Black British - ethnic category 2001 census
185995003,4,Black,16, Other Black,Black Indian sub-continent
978341000000102,4,Black,16, Other Black,Caribbean or Black: Black
315240009,4,Black,16, Other Black,Black - ethnic group
92741000000104,4,Black,16, Other Black,Other Black or Black unspecified - ethnic category 2001 census
94121000000100,5,Other,17, Other,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census
186040000,5,Other,17, Other,Cook Island Maori
92521000000101,5,Other,17, Other,Other - ethnic category 2001 census
89021000000101,5,Other,17, Other,South and Central American - ethnic category 2001 census
978401000000105,5,Other,17, Other,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census
186039002,5,Other,17, Other,New Zealand Maori
977871000000100,5,Other,17, Other,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census
94091000000101,5,Other,17, Other,Kurdish - ethnic category 2001 census
94071000000100,5,Other,17, Other,Middle Eastern (excluding Israeli
69865008,5,Other,17, Other,Fijian
186035008,5,Other,17, Other,New Zealand ethnic groups
86275006,5,Other,17, Other,Samoan
81560001,5,Other,17, Other,Tongan
186042008,5,Other,17, Other,Tokelauan
94151000000105,5,Other,17, Other,Any other group - ethnic category 2001 census
94111000000106,5,Other,17, Other,Latin American - ethnic category 2001 census
186005001,5,Other,17, Other,Other ethnic non-mixed (NMO)
186041001,5,Other,17, Other,Niuean
976971000000106,5,Other,17, Other,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census
977751000000101,5,Other,18, Chinese,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census
33897005,5,Other,18, Chinese,Chinese
976851000000107,5,Other,18, Chinese,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census
978191000000109,5,Other,18, Chinese,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census
92511000000107,5,Other,18, Chinese,Chinese - ethnic category 2001 census
270461001,5,Other,19, Arab,Black N African/Arab/Iranian
94101000000109,5,Other,19, Arab,Moroccan - ethnic category 2001 census
976951000000102,5,Other,19, Arab,Other ethnic group: Arab - England and Wales ethnic category 2011 census
977851000000109,5,Other,19, Arab,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census
275587000,5,Other,19, Arab,Black Arab
270464009,5,Other,19, Arab,N African Arab/Iranian (NMO)
275594002,5,Other,19, Arab,North African Arab (NMO)
89001000000105,5,Other,19, Arab,Arab - ethnic category 2001 census
296841000000102,5,Other,19, Arab,Yemeni
90027003,5,Other,19, Arab,Arabs
978381000000105,5,Other,19, Arab,Other ethnic group: Arab
976611000000109,6,Unknown,20, Unknown,Ethnic category - 2011 census Scotland
397731000,6,Unknown,20, Unknown,Ethnic group finding
312861003,6,Unknown,20, Unknown,Ethnic group not recorded
186034007,6,Unknown,20, Unknown,Ethnicity / related nationality data
202171000000101,6,Unknown,20, Unknown,Patient ethnicity unknown
92381000000106,6,Unknown,20, Unknown,Ethnic category - 2001 census
976571000000100,6,Unknown,20, Unknown,Ethnic category - 2011 census England and Wales
976551000000109,6,Unknown,20, Unknown,Ethnic category - 2011 census
186007009,6,Unknown,20, Unknown,British ethnic minority unspecified (NMO)
92531000000104,6,Unknown,20, Unknown,Ethnic category not stated - 2001 census
372148003,6,Unknown,20, Unknown,Ethnic group
976591000000101,6,Unknown,20, Unknown,Ethnic category - 2011 census Northern Ireland
763726001,6,Unknown,20, Unknown,Refusal by patient to provide information about ethnic group
186006000,6,Unknown,20, Unknown,British ethnic minority specified (NMO)